Charing Cross Underground Station entrance 6,51.508685,-0.12489
Charing Cross Underground Station entrance 7,51.508193,-0.125617
Charing Cross Underground Station entrance 8,51.507849,-0.127158
Charing Cross Underground Station entrance 10,51.507692,-0.127453
Charing Cross Underground Station entrance 13,51.509024,-0.125813
Charing Cross Underground Station entrance 14,51.507312,-0.128405
Charing Cross Underground Station entrance 11,51.507794,-0.127089
Cockfosters Underground Station entrance 1,51.651861,-0.14975
Cockfosters Underground Station entrance 2,51.651471,-0.150098
Cockfosters Underground Station entrance 3,51.651548,-0.149806
Cockfosters Underground Station entrance 4,51.651297,-0.14931
Colindale Underground Station entrance 1,51.595334,-0.249923
Clapham Common Underground Station entrance 1,51.461817,-0.138473
Clapham Common Underground Station entrance 2,51.461596,-0.138194
Clapham Common Underground Station entrance 3,51.461698,-0.138334
Canons Park Underground Station entrance 1,51.607563,-0.294438
Canons Park Underground Station entrance 2,51.60754,-0.294757
Clapham North Underground Station entrance 1,51.465182,-0.129554
Clapham South Underground Station entrance 1,51.452898,-0.147673
Colliers Wood Underground Station entrance 1,51.418053,-0.178191
Colliers Wood Underground Station entrance 2,51.418266,-0.177996
Cannon Street Underground Station entrance 1,51.511579,-0.090789
Camden Town Underground Station entrance 1,51.539297,-0.142494
Camden Town Underground Station entrance 2,51.539247,-0.14277
Camden Town Underground Station entrance 3,51.539299,-0.143201
Camden Town Underground Station entrance 4,51.539719,-0.142463
Chiswick Park Underground Station entrance 1,51.494358,-0.267392
Chiswick Park Underground Station entrance 2,51.494254,-0.26764
Chiswick Park Underground Station entrance 3,51.49434,-0.268041
Canary Wharf Underground Station entrance 1,51.503526,-0.020002
Canary Wharf Underground Station entrance 2,51.503441,-0.016029
Canary Wharf Underground Station entrance 3,51.503457,-0.017484
Dagenham East Underground Station entrance 1,51.544231,0.166009
Dagenham Heathway Underground Station entrance 1,51.541761,0.147778
Dollis Hill Underground Station entrance 1,51.552499,-0.238758
Dollis Hill Underground Station entrance 2,51.551507,-0.239172
Elephant & Castle Underground Station entrance 1,51.495728,-0.100917
Elephant & Castle Underground Station entrance 2,51.494652,-0.100587
Eastcote Underground Station entrance 1,51.576451,-0.397245
Eastcote Underground Station entrance 2,51.576533,-0.397315
East Acton Underground Station entrance 1,51.516588,-0.247494
Ealing Common Underground Station entrance 1,51.510319,-0.288172
Earls Court Underground Station entrance 1,51.492204,-0.193186
Earls Court Underground Station entrance 2,51.490293,-0.195782
East Finchley Underground Station entrance 1,51.587039,-0.164279
East Finchley Underground Station entrance 2,51.586695,-0.164712
East Ham Underground Station entrance 1,51.539288,0.051273
East Ham Underground Station entrance 2,51.538962,0.051388
Embankment Underground Station entrance 1,51.50738,-0.122566
Embankment Underground Station entrance 2,51.506974,-0.121906
Elm Park Underground Station entrance 1,51.549917,0.199224
East Putney Underground Station entrance 1,51.459165,-0.210742
Edgware Road (Bakerloo Line) Underground Station entrance 1,51.520156,-0.170184
Edgware Road (Circle Line) Underground Station entrance 1,51.519672,-0.168027
Edgware Road (Circle Line) Underground Station entrance 2,51.520467,-0.166496
Euston Square Underground Station entrance 2,51.525776,-0.135909
Euston Square Underground Station entrance 1,51.525358,-0.135623
Fulham Broadway Underground Station entrance 1,51.480098,-0.195407
Farringdon Underground Station entrance 1,51.520061,-0.104733
Fairlop Underground Station entrance 1,51.59557,0.090713
Finsbury Park Underground Station entrance 1,51.565207,-0.107791
Finsbury Park Underground Station entrance 2,51.563761,-0.106783
Finsbury Park Underground Station entrance 3,51.564491,-0.105772
Finchley Central Underground Station entrance 1,51.601089,-0.192347
Finchley Central Underground Station entrance 2,51.600613,-0.192943
Finchley Road Underground Station entrance 1,51.546877,-0.179756
Goodge Street Underground Station entrance 1,51.520673,-0.134503
Golders Green Underground Station entrance 2,51.572528,-0.194
Golders Green Underground Station entrance 1,51.572031,-0.194409
Goldhawk Road Underground Station entrance 1,51.501933,-0.227309
Goldhawk Road Underground Station entrance 2,51.501974,-0.226471
Green Park Underground Station entrance 2,51.50673,-0.142738
Green Park Underground Station entrance 1,51.506539,-0.143178
Green Park Underground Station entrance 3,51.50684,-0.142835
Green Park Underground Station entrance 4,51.506851,-0.142978
Green Park Underground Station entrance 5,51.506526,-0.142905
Great Portland Street Underground Station entrance 1,51.523889,-0.143972
Great Portland Street Underground Station entrance 2,51.523786,-0.143673
Gants Hill Underground Station entrance 1,51.577453,0.065605
Gants Hill Underground Station entrance 2,51.577248,0.065538
Gants Hill Underground Station entrance 3,51.577258,0.065972
Gants Hill Underground Station entrance 4,51.576955,0.066333
Gants Hill Underground Station entrance 5,51.576595,0.066837
Gants Hill Underground Station entrance 6,51.576423,0.067464
Gants Hill Underground Station entrance 7,51.576248,0.067153
Gants Hill Underground Station entrance 8,51.576329,0.066637
